session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Tue Feb 19 21:19:49 IST 2019;false
bfp_sn_pl;1550589571_15745692585;.guru99.com;/;Tue Feb 19 21:19:49 IST 2019;false
bafp;c1ea9220-3459-11e9-b0e6-db13e907391f;.demo.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_ga;GA1.2.1837772316.1550589571;.guru99.com;/;Thu Feb 18 20:49:48 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Tue Feb 19 20:50:31 IST 2019;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;Direct;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
bfp_sn_rt_8b2087b102c9e3e5ffed1c1478ed8b78;1550589572348;.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_gid;GA1.2.1557771219.1550589571;.guru99.com;/;Wed Feb 20 20:49:48 IST 2019;false
